geolocation_zip_code_prefix,lat,lng,city,n_records
21785,-22.872104916180973,-43.45521364542106,rio de janeiro,1
21810,-22.87922054417216,-43.459310464937985,rio de janeiro,173
21815,-22.88548385187386,-43.45769280672658,rio de janeiro,99
21820,-22.881888435047646,-43.46899760400734,rio de janeiro,98
21825,-22.892248480036507,-43.47086620332721,rio de janeiro,92
21830,-22.880118655848953,-43.483604754804006,rio de janeiro,118
21831,-22.889762604191276,-43.48390785134509,rio de janeiro,66
21832,-22.894998640111965,-43.490836960215546,rio de janeiro,82
21833,-22.8814818751053,-43.49448328547964,rio de janeiro,57
21840,-22.868363814263653,-43.46923216795061,rio de janeiro,55
21842,-22.868421364534367,-43.47985554134832,rio de janeiro,106
21843,-22.870893429404216,-43.483301504432156,rio de janeiro,48
21845,-22.874488910352586,-43.45268367095628,rio de janeiro,1
21850,-22.859425219557973,-43.486817054989416,rio de janeiro,29
21852,-22.86305592280701,-43.4696365930169,rio de janeiro,48
21853,-22.857082764875646,-43.486439191165495,rio de janeiro,79
21854,-22.845556518964184,-43.49501645648064,rio de janeiro,7
21860,-22.862369101863525,-43.467286461177956,rio de janeiro,47
21862,-22.864698795351657,-43.46636013974529,rio de janeiro,69
21863,-22.850951552039938,-43.46693512747451,rio de janeiro,84
21864,-22.853845962536496,-43.46103565025077,rio de janeiro,49
21865,-22.853042262633373,-43.47042497115219,rio de janeiro,40
21866,-22.859130493251165,-43.47880605689346,rio de janeiro,35
21870,-22.871019283986563,-43.45851442872575,rio de janeiro,95
21875,-22.873409010490445,-43.4537411569272,rio de janeiro,40
21910,-22.79777839220466,-43.181360862515426,rio de janeiro,233
21911,-22.7900819429952,-43.17257319356364,rio de janeiro,144
21920,-22.79811558143935,-43.19569772270941,rio de janeiro,327
21921,-22.8083044291334,-43.18564856697721,rio de janeiro,236
21922,-22.845710242735027,-43.33899502190479,rio de janeiro,7
21930,-22.819481062981133,-43.1783585853495,rio de janeiro,247
21931,-22.809517664348768,-43.200203165434935,rio de janeiro,514
21932,-22.80486286271774,-43.22572822631956,rio de janeiro,49
21940,-22.81388871143013,-43.20247749638257,rio de janeiro,305
21941,-22.8338340042933,-43.24885668973881,rio de janeiro,282
21950,-22.90283435276126,-43.263612555369605,rio de janeiro,1
22003,-22.9109450620848,-43.17286622857466,rio de janeiro,1
22010,-22.96271293881479,-43.170810782953595,rio de janeiro,279
22011,-22.96400610563266,-43.17658358618979,rio de janeiro,262
22020,-22.965453849156813,-43.17847566804375,rio de janeiro,228
22021,-22.96571567280818,-43.178905752541766,rio de janeiro,194
22030,-22.965586191842657,-43.18405306861811,rio de janeiro,236
22031,-22.966933621230865,-43.18792165085605,rio de janeiro,325
22040,-22.968389299018032,-43.1849944726417,rio de janeiro,240
22041,-22.967673604620366,-43.19002828343284,rio de janeiro,300
22050,-22.972595655601555,-43.18771945633724,rio de janeiro,234
22051,-22.972873846317363,-43.19052130370873,rio de janeiro,265
22060,-22.97702862454598,-43.19034089760792,rio de janeiro,186
22061,-22.975419252327107,-43.192633652194786,rio de janeiro,212
22070,-22.980688017563594,-43.18955936508214,rio de janeiro,159
22071,-22.980184787318848,-43.19459066773997,rio de janeiro,311
22080,-22.98466377656021,-43.192528449128396,rio de janeiro,197
22081,-22.984441149894824,-43.19341592390328,rio de janeiro,290
22210,-22.931070810893203,-43.176115962189314,rio de janeiro,368
22211,-22.923384297280904,-43.179530436549925,rio de janeiro,88
22220,-22.92956446372173,-43.17684636890966,rio de janeiro,244
22221,-22.928999413639033,-43.18145032839962,rio de janeiro,340
22230,-22.937297973252818,-43.176889612976375,rio de janeiro,420
22231,-22.936153909752676,-43.18183226783302,rio de janeiro,286
22240,-22.935263476239662,-43.187263572971155,rio de janeiro,312
22241,-22.93845834691675,-43.1963680762055,rio de janeiro,133
22245,-22.941061091973182,-43.191231191173394,rio de janeiro,148
22250,-22.942211644081578,-43.17758693818259,rio de janeiro,466
22251,-22.945344203574265,-43.185010548945066,rio de janeiro,217
22252,-22.94380123065373,-43.18424634846209,rio de janeiro,1
22260,-22.949215828539355,-43.19022765455783,rio de janeiro,358
22261,-22.95721825808972,-43.200260609059356,rio de janeiro,196
22270,-22.953082188232273,-43.18924536490677,rio de janeiro,271
22271,-22.956103796414517,-43.19395105535185,rio de janeiro,219
22280,-22.954408685481415,-43.185650031057385,rio de janeiro,313
22281,-22.95685190582306,-43.193645741400225,rio de janeiro,143
22283,-22.956150562582973,-43.19212235025111,rio de janeiro,1
22290,-22.954428429403354,-43.177074208583676,rio de janeiro,391
22291,-22.942311951383264,-43.166780906762526,rio de janeiro,84
22410,-22.98392343049867,-43.207101465917965,rio de janeiro,417
22411,-22.981944699776772,-43.202413135708234,rio de janeiro,295
22420,-22.985312022606553,-43.20414276378719,rio de janeiro,284
22421,-22.982140216547382,-43.206875250730356,rio de janeiro,186
22430,-22.98210232841188,-43.22013314970181,rio de janeiro,344
22431,-22.98284371340203,-43.224740007201746,rio de janeiro,200
22440,-22.984439128577424,-43.22151271315892,rio de janeiro,290
22441,-22.98416017609255,-43.22495474880264,rio de janeiro,245
22450,-22.986493696399247,-43.23306806247369,rio de janeiro,408
22451,-22.97841522971715,-43.23772919271784,rio de janeiro,566
